Date,Ticker,Entry_Time,Exit_Time,Entry_Price,Exit_Price,Stop_Loss,Target,Risk,PnL,PnL_Pct,R_Realized,Exit_Reason,Gap_Pct,SMA_200,R_Multiple
2025-09-22,NVDA.OQ,2025-09-22 21:51:00,2025-09-22 21:51:00,183.72,183.55,183.55,184.22999999999996,0.1699999999999875,-0.1699999999999875,-0.0925321140866468,-1.0,STOP,3.074460916442045,141.1299,3
2025-08-14,OPEN.OQ,2025-08-14 21:25:00,2025-08-14 21:25:00,3.05,3.03,3.03,3.11,0.020000000000000018,-0.020000000000000018,-0.6557377049180334,-1.0,STOP,16.955684007707124,1.358693,3
2025-08-18,OPEN.OQ,2025-08-18 21:57:00,2025-08-18 21:40:00,3.79,3.76,3.76,3.880000000000001,0.03000000000000025,-0.03000000000000025,-0.7915567282321965,-1.0,STOP,6.808510638297878,1.375343,3
2025-09-04,OPEN.OQ,2025-09-04 21:54:00,2025-09-04 21:54:00,5.97,5.935,5.935,6.075,0.03500000000000014,-0.03500000000000014,-0.5862646566164178,-1.0,STOP,10.19462465245599,1.533993,3
2025-10-06,OPEN.OQ,2025-10-06 21:56:00,2025-10-06 21:52:00,9.295,9.225,9.225,9.505,0.07000000000000028,-0.07000000000000028,-0.7530930607853715,-1.0,STOP,4.985835694051007,2.231968,3
2025-11-10,OPEN.OQ,2025-11-10 21:51:00,2025-11-10 21:51:00,8.0,7.985,7.985,8.044999999999998,0.01499999999999968,-0.01499999999999968,-0.187499999999996,-1.0,STOP,21.168437025796667,2.974793,3
2025-11-11,OPEN.OQ,2025-11-11 21:58:00,2025-11-11 21:58:00,8.5,8.46,8.46,8.619999999999997,0.03999999999999915,-0.03999999999999915,-0.47058823529410765,-1.0,STOP,4.374614910659278,3.010293,3
2025-11-24,OPEN.OQ,2025-11-24 21:56:00,2025-11-24 18:16:00,7.71,7.54,7.54,8.219999999999999,0.16999999999999993,-0.16999999999999993,-2.204928664072632,-1.0,STOP,7.900355871886116,3.291193,3
2025-09-05,TSLA.OQ,2025-09-05 21:57:00,2025-09-05 21:56:00,351.02,350.49,350.49,352.6099999999999,0.5299999999999727,-0.5299999999999727,-0.15098854766109415,-1.0,STOP,3.481955796866244,330.2063,3
2025-09-12,TSLA.OQ,2025-09-12 21:56:00,2025-09-12 21:56:00,396.0,395.37,395.37,397.89,0.6299999999999955,-0.6299999999999955,-0.15909090909090795,-1.0,STOP,7.154665438087747,330.8002,3
2025-09-15,TSLA.OQ,2025-09-15 21:56:00,2025-09-15 21:56:00,410.28,409.81,409.81,411.6899999999999,0.46999999999997044,-0.46999999999997044,-0.11455591303499328,-1.0,STOP,3.3583782966063214,331.0876,3
2025-10-01,TSLA.OQ,2025-10-01 21:57:00,2025-10-01 21:56:00,459.78,461.78999999999985,459.11,461.78999999999985,0.6699999999999591,2.009999999999877,0.4371656009395531,3.0,TARGET,3.244943820224719,335.1319,3
2025-11-24,TSLA.OQ,2025-11-24 21:58:00,2025-11-24 21:56:00,417.86,417.39,417.39,419.2700000000001,0.4700000000000273,-0.4700000000000273,-0.11247786339923115,-1.0,STOP,3.6494538232373355,339.11385,3
2025-09-24,INTC.OQ,2025-09-24 21:57:00,2025-09-24 21:57:00,31.23,31.16,31.16,31.44,0.07000000000000028,-0.07000000000000028,-0.22414345180915873,-1.0,STOP,3.2284768211920576,21.8748,3
2025-09-03,AAPL.OQ,2025-09-03 21:57:00,2025-09-03 21:57:00,238.49,238.04,238.04,239.84000000000006,0.45000000000001705,-0.45000000000001705,-0.18868715669420816,-1.0,STOP,3.1458531935176315,221.26555,3
2025-09-22,AAPL.OQ,2025-09-22 18:02:00,2025-09-22 18:02:00,256.255,256.08,256.08,256.78000000000003,0.17500000000001137,-0.17500000000001137,-0.06829135041267931,-1.0,STOP,3.9930978481526513,221.73595,3
2025-08-04,ONDS.OQ,2025-08-04 21:59:00,2025-08-04 21:59:00,2.665,2.655,2.655,2.6950000000000007,0.010000000000000231,-0.010000000000000231,-0.3752345215759937,-1.0,STOP,17.218543046357603,1.338164,3
2025-08-14,ONDS.OQ,2025-08-14 21:59:00,2025-08-14 21:59:00,3.93,3.905,3.905,4.005000000000001,0.025000000000000355,-0.025000000000000355,-0.6361323155216375,-1.0,STOP,3.302509907529722,1.4436855,3
2025-08-25,ONDS.OQ,2025-08-25 21:56:00,2025-08-25 21:35:00,4.85,4.8,4.8,4.999999999999999,0.04999999999999982,-0.04999999999999982,-1.0309278350515427,-1.0,STOP,6.430155210643017,1.556864,3
2025-08-28,ONDS.OQ,2025-08-28 21:51:00,2025-08-28 21:51:00,5.71,5.69,5.69,5.769999999999999,0.019999999999999574,-0.019999999999999574,-0.35026269702275964,-1.0,STOP,3.4545454545454617,1.624207,3
2025-09-05,ONDS.OQ,2025-09-05 21:37:00,2025-09-05 21:36:00,5.64,5.625,5.625,5.684999999999999,0.01499999999999968,-0.01499999999999968,-0.26595744680850497,-1.0,STOP,4.553903345724909,1.741571,3
2025-09-08,ONDS.OQ,2025-09-08 21:08:00,2025-09-08 21:08:00,6.07,6.055,6.055,6.115000000000002,0.015000000000000568,-0.015000000000000568,-0.24711696869852665,-1.0,STOP,6.79012345679012,1.7683055,3
